GEOID,Capita,Population 2021,GDP,GDP,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
01001,37162,"60,342","1,929,264,000","1,929,264",1.612323092,0.52361234,103.1,31.2,54.8,-0.115853042,1.400453334,146.8244763,51915,0,0,0.237618281,0.011318285,0.295192389,0.0007939,0.07939
01003,31656,"253,507","8,924,207,000","8,924,207",1.405427556,0.406290518,99.9,45.1,61.7,-0.127586416,2.775428895,343.2160295,281908,0.007426684,0.197105341,0.264106508,0.120874367,0.304933856,0.009734619,0.9734619
01005,37691,"24,585","745,349,000","745,349",1.436005504,0.360523093,95.1,38.8,55.5,-0.120503069,0.808122965,71.23069142,19775.33333,0,0,0.231095386,0.00606829,0.311221001,0.000436442,0.0436442
01007,30143,"21,868","448,464,000","448,464",1.384937134,3.294911922,318,47.2,49.8,0.402496084,0.82155013,88.42150551,14878,0,0,0.421231577,0.006040012,0.299326342,0.000761559,0.0761559
01009,17348,"59,816","1,045,845,000","1,045,845",1.533813735,0.34074656,97.5,36.7,46.9,-0.09851582,1.675087017,171.6648264,60286.66667,0,0,0.211968395,0.013530012,0.330531356,0.000947942,0.0947942
01011,47602,"9,897","247,403,000","247,403",1.32721012,0.334951361,89.1,40.5,51.8,-0.111985461,0.592740314,45.13412509,5197.333333,0,0,0.209445651,0.004071601,0.3083383,0.000262944,0.0262944
01013,70179,"18,382","652,201,000","652,201",1.646607253,0.444537943,90.7,43.8,64.1,-0.116518134,0.779520283,87.31404657,9293.333333,0,0,0.294060029,0.005572154,0.288620042,0.000472918,0.0472918
01015,55597,"116,429","4,608,415,000","4,608,415",1.480628156,0.818768305,109.4,43.8,50,-0.045020548,3.289629312,540.8101869,82889.33333,0,0,0.251152901,0.02610966,0.291170386,0.001909355,0.1909355
01017,64472,"34,079","894,548,000","894,548",1.702280425,3.418579092,503.4,36.2,60.6,0.846319271,1.241847191,144.373924,13875,0,0,0.578317666,0.009026472,0.297436332,0.001552668,0.1552668
01019,43326,"25,666","606,899,000","606,899",1.506282,0.469466145,106.1,36.9,46.7,-0.109826275,1.523775249,139.7503666,14007.66667,0,0,0.215515179,0.010977848,0.307819571,0.000728268,0.0728268
01021,27886,"46,431","1,077,591,000","1,077,591",1.495840861,2.207816109,381.8,39.1,53.1,0.173006874,1.32412222,138.1362572,38642.66667,0,0,0.408672315,0.010358726,0.312506724,0.001322942,0.1322942
01023,112021,"12,252","611,338,000","611,338",1.459902822,0.563672033,100.4,47.9,59.1,-0.087875406,0.601972222,47.97181094,5457.333333,0,0,0.275039886,0.00414894,0.303844418,0.000346724,0.0346724
01025,48827,"22,337","817,215,000","817,215",1.587388189,0.536706227,97.6,46.2,65.4,-0.117397586,0.646446606,56.51556923,16737,0,0.00857003,0.301952055,0.00870012,0.293963227,0.000772247,0.0772247
01027,99720,"14,111","433,948,000","433,948",1.482817593,0.529276454,95,38.9,47.5,-0.063692865,0.759288165,83.34941056,4351.666667,0,0,0.218134564,0.005270349,0.302161998,0.000347379,0.0347379
01029,79787,"15,639","332,525,000","332,525",1.607004879,3.672783742,648.8,46.4,56.4,1.540040072,0.733240445,95.24128498,4167.666667,0,0,0.701038564,0.005105647,0.303807852,0.001087406,0.1087406
01031,45024,"55,643","1,641,541,000","1,641,541",1.605023996,0.505432111,115.4,32.6,59,-0.134996894,1.355294045,154.1682029,36459,0,0,0.255891097,0.010536107,0.298614635,0.000805094,0.0805094
01033,68206,"58,361","2,635,868,000","2,635,868",1.617577432,0.456679125,103.3,36.9,46.4,-0.123828002,1.81383377,250.1114785,38645.66667,0,0,0.22578983,0.01396046,0.301103345,0.000949117,0.0949117
01035,69406,"11,174","350,708,000","350,708",1.502701269,0.46546222,98.5,50.5,62.9,-0.123475101,0.632893067,53.22938041,5053,0,0,0.293727682,0.004360421,0.291101478,0.000372836,0.0372836
01037,41548,"10,268","197,269,000","197,269",1.469551245,0.784083666,108.3,36,51.3,-0.065103886,0.689681235,65.10592002,4748,0,0,0.23225959,0.004766532,0.306661393,0.000339497,0.0339497
01039,55049,"37,952","1,229,523,000","1,229,523",1.265288764,0.944511645,123.6,58,63,-0.101532228,1.045821471,121.7493545,22335,0,0,0.308468543,0.007889349,0.301242939,0.00073311,0.073311
01041,87139,"13,101","443,859,000","443,859",1.393509748,3.484511276,526.5,50.6,62,0.79316561,0.762025119,60.8888779,5093.666667,0,0,0.60852906,0.005271451,0.293987258,0.000943061,0.0943061
01043,36845,"92,016","3,112,513,000","3,112,513",1.367869399,0.370789624,100.3,39.6,48.1,-0.100303057,2.15412503,234.1369305,84475.66667,0,0,0.205569567,0.017722026,0.339264822,0.001235979,0.1235979
01045,76573,"49,871","2,884,753,000","2,884,753",1.734952497,3.209762525,396.3,24.1,59.5,0.46937936,1.874044577,194.2717086,37673,0,0,0.478879933,0.014245747,0.293189219,0.002000138,0.2000138
01047,40701,"36,165","1,196,269,000","1,196,269",1.453048902,3.033990795,435.5,36.5,54.9,0.477658615,0.970337692,128.2101742,29391.66667,0,0,0.474978477,0.007597754,0.305074207,0.001100942,0.1100942
01049,31595,"72,569","2,181,316,000","2,181,316",1.637806775,0.335014603,90.6,32.3,44,-0.137506554,1.849221697,200.1168271,69040.33333,0,0,0.201887615,0.015063116,0.338920844,0.001030677,0.1030677
01051,19428,"90,441","2,064,691,000","2,064,691",1.423512986,0.455618157,110.4,32.7,52.5,-0.111798498,2.579175757,271.7200079,106274.6667,0,0,0.213360603,0.021419479,0.305849134,0.001397753,0.1397753
01053,49774,"36,558","1,187,779,000","1,187,779",1.360378963,1.072541884,120.3,55.4,64.8,-0.095893793,0.930604092,138.3433808,23863.33333,0,0,0.3203025,0.007168121,0.303020808,0.000695726,0.0695726
01055,33253,"103,241","2,924,073,000","2,924,073",1.518017498,0.398224787,100.4,36.6,46.8,-0.10261142,3.374105714,441.4616007,87935,0,0,0.21234978,0.026671589,0.307079026,0.001739205,0.1739205
01057,55465,"15,967","337,710,000","337,710",1.19172367,0.315169573,91.3,51.4,48.7,-0.123509272,0.874141559,84.75074951,6088.666667,0,0,0.212307452,0.006123833,0.300610622,0.000390835,0.0390835
01059,35724,"31,802","1,029,838,000","1,029,838",1.657731827,3.391123022,431.2,36.2,46.2,0.531926941,1.133848483,119.6623601,28827.33333,0,0,0.475691888,0.008698769,0.311375985,0.001288453,0.1288453
01061,42940,"26,988","557,507,000","557,507",1.430655713,2.964324184,421.2,40.9,60.2,0.337924311,1.2247836,134.0675567,12983.33333,0,8.02E-06,0.481182645,0.008865075,0.313361455,0.001336712,0.1336712
01063,38158,"7,341","200,050,000","200,050",1.411437922,0.418943098,100.4,45,53.5,-0.090218461,0.601808299,48.70348824,5242.666667,0,0,0.241581838,0.00414244,0.27508379,0.000275287,0.0275287
01065,21221,"14,888","228,355,000","228,355",1.53480848,0.658064406,110.6,40.2,53.7,-0.076794679,0.736837346,66.62920946,10761,0,0,0.254631232,0.005284077,0.312913658,0.000421023,0.0421023
01067,64653,"17,899","448,995,000","448,995",1.623626817,-0.333425515,75.3,30.3,58.3,-0.186626724,0.919165111,83.79693164,6944.666667,0,0,0.213764106,0.006461124,0.294600948,0.00040689,0.040689
01069,60378,"108,462","5,709,703,000","5,709,703",1.534774464,0.658073761,118.8,30.1,59.2,-0.109583094,2.631171903,336.3630062,94566.33333,0,0,0.247527168,0.0215329,0.297118229,0.001583634,0.1583634
01071,42815,"53,467","1,484,505,000","1,484,505",1.735587141,0.351628615,94,36.6,48.4,-0.136036975,1.293793029,141.0623,34672.33333,0,0,0.238541683,0.010029782,0.319849638,0.000765247,0.0765247
01073,63063,"662,895","48,581,447,000","48,581,447",1.572918645,0.383146348,110.5,35.5,51.3,-0.108715668,7.807220954,1329.355687,770359,0,0,0.231929438,0.080342054,0.292306651,0.005446751,0.5446751
01075,67086,"13,661","323,734,000","323,734",1.217194098,0.474620289,96.2,48.2,48.4,-0.113229044,0.857353113,78.10414812,4825.666667,0,0,0.212241703,0.005955816,0.298472765,0.000377291,0.0377291
01077,33176,"96,814","2,770,761,000","2,770,761",1.686527567,0.760656625,93,37,47,-0.070057186,2.311420359,307.2410233,83517.33333,0,0,0.240915291,0.018916824,0.318599703,0.001451971,0.1451971
01079,23539,"33,502","582,451,000","582,451",1.749967302,2.377165953,232.9,34.6,46.2,0.155897286,1.090873099,135.4198835,24744.33333,0,0,0.344563452,0.00830203,0.31263299,0.00089431,0.089431
01081,31745,"183,215","6,860,502,000","6,860,502",1.734308112,1.936718008,207.9,31.2,57,0.103412431,4.087616144,532.5330356,216110,0,0,0.342083614,0.035787442,0.311345803,0.003811588,0.3811588
01083,50605,"114,654","4,685,164,000","4,685,164",1.529642332,0.264403433,95.9,36.8,44,-0.121385625,2.35049656,288.6880096,92583,0,0,0.200482698,0.019436901,0.319288946,0.001244193,0.1244193
01085,77363,"9,717","403,938,000","403,938",1.478089286,0.450781994,95.1,38.3,56.7,-0.12528736,0.585054927,45.47738452,5221.333333,0,0,0.241020306,0.004019665,0.289708036,0.000280675,0.0280675
01087,52713,"18,370","557,814,000","557,814",1.472803875,0.415157286,96.5,36.1,52.9,-0.106208954,0.922867338,100.0599258,10582,0,0,0.223068843,0.006630032,0.304865898,0.000450882,0.0450882
01089,63789,"412,600","28,787,879,000","28,787,879",1.566563664,0.339396545,109.7,35.5,43.6,-0.122356218,6.243632294,927.4172507,451298.6667,0,0,0.206949229,0.058804394,0.305215536,0.003714328,0.3714328
01091,77985,"18,684","799,526,000","799,526",1.445394388,0.555575646,100.2,43.4,59,-0.096741412,0.725037446,65.2670477,10252.33333,0,0,0.261458061,0.00518386,0.284590334,0.000385723,0.0385723
01093,72482,"29,244","938,817,000","938,817",1.379619385,3.47708514,390.7,42.8,46.2,0.488224509,1.139431925,115.9632247,12952.33333,0,0,0.441577669,0.00823533,0.311863876,0.001134105,0.1134105
